000,0001,000001,777,0001,980133,DOC,1,100.00
777,0001,980133,000,0001,000001,DOC,1,100.00
777,0001,980133,000,0001,000001,TED,1,100.00
777,0001,980133,000,0001,000001,TEF,1,100.00
000,0001,000001,777,0001,980133,DOC,1,100.00
000,0001,000001,777,0001,566788,DOC,1,1000.00
777,0001,566788,000,0001,000001,DOC,1,1000.00
777,0001,566788,000,0001,000001,TED,1,1000.00
777,0001,566788,000,0001,000001,TEF,1,1000.00
000,0001,000001,777,0001,566788,DOC,1,1000.00
777,0001,242022,000,0001,000001,DOC,1,100.00
777,0001,000005,000,0001,000001,TED,1,100.00
777,0001,566788,777,0001,980133,TEF,1,10.00
